Date,Close/Last,Volume,Open,High,Low
05/28/2024,77.66,2300457,76.76,77.775,76.57
05/24/2024,75.35,1164430,74.88,75.60,74.73
05/23/2024,74.45,1915647,75.96,76.18,74.04
05/22/2024,74.87,2337228,75.21,75.90,74.82
05/21/2024,76.16,2009582,75.99,76.53,75.53
05/20/2024,76.73,2040491,76.554,77.55,76.18
05/17/2024,76.97,2019079,76.35,77.1147,76.16
05/16/2024,76.25,3195860,76.64,76.735,75.93
05/15/2024,75.88,3660044,74.45,75.88,73.88
05/14/2024,75.21,2186642,75.30,75.87,74.84
05/13/2024,76.13,3055273,75.72,76.43,75.60
05/10/2024,75.30,2746581,76.68,76.83,75.24
05/09/2024,76.52,2240297,76.07,76.56,75.88
05/08/2024,76.11,2423806,74.72,76.18,74.55
05/07/2024,75.50,4327423,75.25,76.16,74.64
05/06/2024,75.66,6195939,75.54,75.98,74.96
05/03/2024,75.13,2875057,75.74,75.92,75.02
05/02/2024,75.93,4709991,76.10,76.395,75.37
05/01/2024,75.93,5965354,77.37,78.38,75.76
04/30/2024,78.38,3829178,78.93,79.215,77.79
04/29/2024,79.50,3934064,80.07,80.33,79.17
04/26/2024,80.39,1605343,80.97,80.97,80.06
04/25/2024,80.44,3009027,79.57,80.49,78.75
04/24/2024,79.64,3662918,79.71,80.25,79.16
04/23/2024,79.98,3355415,78.25,80.10,78.16
04/22/2024,78.78,3299618,77.86,78.99,77.57
04/19/2024,78.85,7608758,78.72,79.53,78.5616
04/18/2024,78.78,4529648,79.12,79.49,78.20
04/17/2024,78.91,5967324,80.28,80.96,78.69
04/16/2024,81.33,4285407,81.31,81.72,81.01
04/15/2024,81.65,10203250,81.00,81.70,80.09
04/12/2024,81.53,9724893,83.00,83.41,81.23
04/11/2024,81.55,6287749,81.67,81.67,80.79
04/10/2024,82.09,6834137,81.39,82.11,80.43
04/09/2024,81.15,3895468,82.13,82.25,80.87
04/08/2024,82.20,3757223,82.38,82.73,81.165
04/05/2024,82.40,3842792,82.58,83.25,82.12
04/04/2024,82.27,6112168,81.07,82.84,80.43
04/03/2024,81.25,3254770,81.31,81.82,81.095
04/02/2024,80.79,4241700,80.63,80.9194,79.88
04/01/2024,79.67,4000055,79.08,80.20,78.80
03/28/2024,78.73,4745626,78.27,78.94,78.02
03/27/2024,77.51,2412290,76.92,77.54,76.82
03/26/2024,77.29,2776793,77.94,77.98,77.21
03/25/2024,77.76,2189168,76.99,78.21,76.99
03/22/2024,76.68,2397010,77.07,77.12,76.31
03/21/2024,76.82,2741978,76.83,77.00,76.1398
03/20/2024,77.25,4254560,77.20,77.52,76.62
